"","Parcel","Year","Tran_Name","x","y","ACHY","ALOC2","ARTR2","ASFA","ATCA2","ATCO","ATPA3","ATPO","ATTO","BOMA7","CALI4","DISP","EPCI","EPNE","ERNA10","EUOC4","HECU3","HOJU","IVAX","JUARL","JUTO","KRLA2","LETR5","MACA17","MALE3","MUAS","POFR2","PSARM","PSPO","SAEX","SALA3","SALA6","SAVE4","SPAI","SUMO","TEAX","TEGL","TYLA"
"46","LAW029",2023,"32",381600,4144890,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"47","LAW029",2023,"33",381420,4145580,0,2,0,0,0,0,0,0,5,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","LAW029",2023,"34",381360,4144890,0,0,0,0,0,0,0,0,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","LAW029",2023,"35",380850,4145760,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","LAW029",2023,"36",381600,4144920,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"51","LAW029",2023,"37",381330,4144980,0,0,0,0,0,0,0,0,1,0,0,3,0,0,23,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","LAW029",2023,"38",381630,4145250,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"53","LAW029",2023,"39",381510,4145220,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"54","LAW029",2023,"4",381390,4145580,0,0,0,0,0,0,0,0,3,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","LAW029",2023,"40",381750,4145670,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"56","LAW029",2023,"5",381540,4144920,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"57","LAW029",2023,"6",381810,4145340,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
