"transect","parcel","bearing","project_type","popup_text"
55,"LAW094",120,"2003 Reveg Projects","<b>Transect 55</b><br>Parcel: LAW094<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
56,"LAW094",120,"2003 Reveg Projects","<b>Transect 56</b><br>Parcel: LAW094<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
57,"LAW094",220,"2003 Reveg Projects","<b>Transect 57</b><br>Parcel: LAW094<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
58,"LAW094",40,"2003 Reveg Projects","<b>Transect 58</b><br>Parcel: LAW094<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
59,"LAW094",320,"2003 Reveg Projects","<b>Transect 59</b><br>Parcel: LAW094<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
60,"LAW094",120,"2003 Reveg Projects","<b>Transect 60</b><br>Parcel: LAW094<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
61,"LAW090",40,"2003 Reveg Projects","<b>Transect 61</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
62,"LAW090",320,"2003 Reveg Projects","<b>Transect 62</b><br>Parcel: LAW090<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
63,"LAW090",120,"2003 Reveg Projects","<b>Transect 63</b><br>Parcel: LAW090<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
64,"LAW090",120,"2003 Reveg Projects","<b>Transect 64</b><br>Parcel: LAW090<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
65,"LAW090",40,"2003 Reveg Projects","<b>Transect 65</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
66,"LAW090",40,"2003 Reveg Projects","<b>Transect 66</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
67,"LAW090",320,"2003 Reveg Projects","<b>Transect 67</b><br>Parcel: LAW090<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
68,"LAW090",120,"2003 Reveg Projects","<b>Transect 68</b><br>Parcel: LAW090<br>Bearing: 120°<br>Type: 2003 Reveg Projects"
69,"LAW090",40,"2003 Reveg Projects","<b>Transect 69</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
70,"LAW090",220,"2003 Reveg Projects","<b>Transect 70</b><br>Parcel: LAW090<br>Bearing: 220°<br>Type: 2003 Reveg Projects"
71,"LAW090",40,"2003 Reveg Projects","<b>Transect 71</b><br>Parcel: LAW090<br>Bearing: 40°<br>Type: 2003 Reveg Projects"
72,"LAW090",320,"2003 Reveg Projects","<b>Transect 72</b><br>Parcel: LAW090<br>Bearing: 320°<br>Type: 2003 Reveg Projects"
