"parcel","year","transect","data_source","reference_group"
"LAW119",2023,"5","reference","LAW118/129"
"LAW119",2023,"50","reference","LAW118/129"
"LAW119",2023,"51","reference","LAW118/129"
"LAW119",2023,"52","reference","LAW118/129"
"LAW119",2023,"53","reference","LAW118/129"
"LAW119",2023,"54","reference","LAW118/129"
"LAW119",2023,"55","reference","LAW118/129"
"LAW119",2023,"56","reference","LAW118/129"
"LAW119",2023,"57","reference","LAW118/129"
"LAW119",2023,"58","reference","LAW118/129"
"LAW119",2023,"59","reference","LAW118/129"
"LAW119",2023,"6","reference","LAW118/129"
"LAW119",2023,"60","reference","LAW118/129"
"LAW119",2023,"61","reference","LAW118/129"
"LAW119",2023,"62","reference","LAW118/129"
"LAW119",2023,"63","reference","LAW118/129"
"LAW119",2023,"64","reference","LAW118/129"
"LAW119",2023,"7","reference","LAW118/129"
"LAW119",2023,"8","reference","LAW118/129"
"LAW119",2023,"9","reference","LAW118/129"
"LAW119",2025,"10c","reference","LAW118/129"
"LAW119",2025,"11a","reference","LAW118/129"
"LAW119",2025,"12a","reference","LAW118/129"
"LAW119",2025,"13a","reference","LAW118/129"
"LAW119",2025,"14a","reference","LAW118/129"
"LAW119",2025,"15a","reference","LAW118/129"
"LAW119",2025,"1a","reference","LAW118/129"
"LAW119",2025,"2a","reference","LAW118/129"
"LAW119",2025,"3a","reference","LAW118/129"
"LAW119",2025,"4a","reference","LAW118/129"
"LAW119",2025,"5a","reference","LAW118/129"
"LAW119",2025,"6d","reference","LAW118/129"
"LAW119",2025,"7d","reference","LAW118/129"
"LAW119",2025,"8a","reference","LAW118/129"
"LAW119",2025,"9a","reference","LAW118/129"
"PLC202",2023,"1","reference","LAW118/129"
"PLC202",2023,"10","reference","LAW118/129"
"PLC202",2023,"11","reference","LAW118/129"
"PLC202",2023,"12","reference","LAW118/129"
"PLC202",2023,"2","reference","LAW118/129"
"PLC202",2023,"3","reference","LAW118/129"
"PLC202",2023,"4","reference","LAW118/129"
"PLC202",2023,"5","reference","LAW118/129"
"PLC202",2023,"6","reference","LAW118/129"
"PLC202",2023,"7","reference","LAW118/129"
"PLC202",2023,"8","reference","LAW118/129"
"PLC202",2023,"9","reference","LAW118/129"
"PLC202",2025,"1e","reference","LAW118/129"
"PLC202",2025,"2a","reference","LAW118/129"
"PLC202",2025,"3a","reference","LAW118/129"
"PLC202",2025,"4a","reference","LAW118/129"
"PLC202",2025,"5a","reference","LAW118/129"
"PLC219",2022,"20","reference","LAW118/129"
"PLC219",2022,"21","reference","LAW118/129"
"PLC219",2022,"22","reference","LAW118/129"
"PLC219",2022,"23","reference","LAW118/129"
"PLC219",2022,"27","reference","LAW118/129"
